Serial	Date Time	ref(µF)	(µF)	(µF)	(µF)	(µF)	(µF)	(°C)
3H-CC61   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC62   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC63   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC64   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC65   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC66   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC67   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC68   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC69   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC70   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC71   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC72   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC73   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC74   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC75   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC76   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC77   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC78   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC79   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC80   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC81   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC82   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC83   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC84   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC85   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC86   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC87   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC88   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC89   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-CC90   	01/01/2001 01:01	46,15	0	0	0	0	0	0
5H-AC01   	24/11/2022 15:21	49,06	49,74	0	0	0	0	26
5H-AC02   	24/11/2022 15:21	49,06	50,58	0	0	0	0	26
5H-AC03   	24/11/2022 15:22	49,06	32,43	32,43	0	0	0	26
5H-AC04   	24/11/2022 15:22	49,06	49,03	0	0	0	0	27
5H-AC05   	24/11/2022 15:22	49,06	49,09	0	0	0	0	27
5H-AC06   	24/11/2022 15:23	49,06	50,57	0	0	0	0	27
5H-AC07   	24/11/2022 15:23	49,06	49,24	0	0	0	0	27
5H-AC08   	24/11/2022 15:24	49,06	44,85	44,85	0	0	0	27
5H-AC09   	24/11/2022 15:24	49,06	47,54	0	0	0	0	28
5H-AC10   	24/11/2022 15:25	49,06	49,19	0	0	0	0	28
5H-AC11   	24/11/2022 15:25	49,06	47,62	0	0	0	0	28
5H-AC12   	24/11/2022 15:26	49,06	47,98	0	0	0	0	28
5H-AC13   	24/11/2022 15:26	49,06	49,87	0	0	0	0	28
5H-AC14   	24/11/2022 15:27	49,06	49,74	0	0	0	0	28
5H-AC15   	24/11/2022 15:27	49,06	48,82	0	0	0	0	28
5H-AC16   	24/11/2022 15:27	49,06	49,54	0	0	0	0	29
5H-AC17   	24/11/2022 15:27	49,06	48,85	0	0	0	0	29
5H-AC18   	24/11/2022 15:28	49,06	48,75	0	0	0	0	29
5H-AC19   	24/11/2022 15:28	49,06	49,97	0	0	0	0	29
5H-AC20   	24/11/2022 15:29	49,06	48,79	0	0	0	0	29
5H-AC21   	24/11/2022 15:29	49,06	49,56	0	0	0	0	29
5H-AC22   	24/11/2022 15:29	49,06	49,2	0	0	0	0	29
5H-AC23   	24/11/2022 15:30	49,06	49,94	0	0	0	0	29
5H-AC24   	24/11/2022 15:30	49,06	48,72	0	0	0	0	29
5H-BC25   	24/11/2022 15:31	49,06	50,09	0	0	0	0	30
5H-BC26   	24/11/2022 15:31	49,06	50,11	0	0	0	0	30
5H-BC27   	24/11/2022 15:31	49,06	49,13	0	0	0	0	30
5H-BC28   	24/11/2022 15:32	49,06	49,12	0	0	0	0	30
5H-BC29   	24/11/2022 15:32	49,06	49,98	0	0	0	0	30
5H-BC30   	24/11/2022 15:32	49,06	50,06	0	0	0	0	30
5H-BC31   	24/11/2022 15:33	49,06	48,91	0	0	0	0	30
5H-BC32   	24/11/2022 15:33	49,06	49,65	0	0	0	0	30
5H-BC33   	24/11/2022 15:33	49,06	48,39	0	0	0	0	30
5H-BC34   	24/11/2022 15:34	49,06	50,3	0	0	0	0	30
5H-BC35   	24/11/2022 15:34	49,06	49,19	0	0	0	0	30
5H-BC36   	24/11/2022 15:34	49,06	49,14	0	0	0	0	30
5H-BC37   	24/11/2022 15:35	49,06	48,15	0	0	0	0	30
5H-BC38   	24/11/2022 15:35	49,06	50,66	0	0	0	0	30
5H-BC39   	24/11/2022 15:35	49,06	49,29	0	0	0	0	31
5H-BC40   	24/11/2022 15:36	49,06	49,67	0	0	0	0	31
5H-BC41   	24/11/2022 15:36	49,06	49,98	0	0	0	0	31
5H-BC42   	24/11/2022 15:36	49,06	48,64	0	0	0	0	31
5H-BC43   	24/11/2022 15:37	49,06	49,8	0	0	0	0	31
5H-BC44   	24/11/2022 15:37	49,06	47,37	0	0	0	0	31
5H-BC45   	24/11/2022 15:38	49,06	49,44	0	0	0	0	31
5H-BC46   	24/11/2022 15:38	49,06	49,07	0	0	0	0	31
5H-BC47   	24/11/2022 15:39	49,06	49,94	0	0	0	0	31
5H-BC48   	24/11/2022 15:39	49,06	49,95	0	0	0	0	31
5H-CC49   	24/11/2022 15:39	49,06	49,04	0	0	0	0	31
